,Code,Name,Code_1,Type,Realm,Inhabitant,Mapped,Crosslist,Comments,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,SHAPE_Leng,SHAPE_Area,F15,Range,F30,Status,layer,path,River,Outflow,Tributary,Id,Name_1,Owner,F12,F13,Maker,Occupant,Created,geometry
28,LA013,Nen Hithoel,LA013,Lake,Gondor,,x,GD070,,"""Mist-cool Water""",,,Nen Hithoel,,,,,,,,,,,,,,,,,,94564.0335,604123002,,,,,,,,,,,,,,,,,,POINT (3899573.937055633 2203762.3535771365)
29,LA019,Sea of Rhûn,LA019,Inland Sea,Rhûn,,x,,,Sea of Rhûn,,,"Rhûn (""East"")",,,,,,,,,,,,,,,,,,960854.3702,22436757396,,,,,,,,,,,,,,,,,,POINT (4536575.273228883 2460410.5121220658)
30,LA017,Sea of Núrnen,LA017,Inland Sea,Mordor,,x,MO022,,"Sea of Núrnen; Lake Núrnen; ""sad-water"" lake/sea",,,[Sea/Lake] Núrnen,,,,,,,,,,,,,,,,,,644327.4231,14297796891,,,,,,,,,,,,,,,,,,POINT (4389723.183257222 1810405.0248137356)
31,HI004,Amon Hen,HI004,,Gondor,Gondorians,x,,,"""Hill of the Eye""; Hill of Sight",,,Amon Hen,,,,,,,,,,,,,,,,,,17174.30263,16460333.27,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3893044.4718603333 2184193.376048291)
32,HI006,Amon Lhaw,HI006,,Gondor,,x,,,"""Hill of Hearing""",,,Amon Lhaw,,,,,,,,,,,,,,,,,,25295.65728,28664574.11,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3904705.373631494 2188274.1913845837)
33,HI005,Dol Guldur,HI005,,Mirkwood,"Sauron, Khamûl, forces of Sauron",x,FT008,,"""Hill of Sorcery""; the dungeons of the Necromancer",,,"Amon Lanc (""the Naked Hill""; ""Bald Hill""); Dol Guldur (""Hill of Sorcery"")",,,,,,,,,,,,,,,,,,24073.70571,35151954.22,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3869071.154458301 2532498.4709738754)
34,HI013,Buck Hill,HI013,,Buckland,Hobbits,x,,,Buck Hill,,,,,,,,,,,,,,,,,,,,,21391.99995,32058307.79,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3139225.3047086606 2709975.6140376767)
35,HI014,Cerin Amroth,HI014,,Lothlórien,,x,,,"""Amroth's Mound""",,,Cerin Amroth,,,,,,,,,,,,,,,,,,7911.544291,4703016.515,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3742057.037395253 2520951.537771488)
36,HI015,Death Down,HI015,,Rohan,,x,GR006; RH005,Erected after the Battle of the Hornburg (4 March T.A. 3019),Death Down,,,,,,,,,,,,,,,,,,,,,868.1583904,53940.40108,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3494953.068916738 2200621.39407518)
37,HI016,Dol Amroth,HI016,,Gondor,Men (Númenórean Faithful),x,GD026; TO026,,"""hill upclimber""",,,Dol Amroth,,,,,,,,,,,,,,,,,,45904.78438,78039725.26,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3558870.4128023535 1846321.0812512613)
38,HI017,Dol Baran,HI017,,Rohan,,x,,,"""Shaven hill""",,,Dol Baran,,,,,,,,,,,,,,,,,,7074.594652,3058019.078,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3503779.678168423 2269251.4437248195)
39,HI020,Emyn Arnen,HI020,,Gondor,House of Húrin (Gondorians),x,GD033,,"""the hills of Arnen""",,,Emyn [Arnen],,,,,,,,,,,,,,,,,,84749.28502,347700778.9,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3979632.4108548146 1931528.514069568)
40,HI022,Emyn Muil,HI022,,Gondor,Uninhabited,x,GD034,,"""the drear hills""",,,Emyn Muil,,,,,,,,,,,,,,,,,,448728.7574,6215051959,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3918368.014271318 2224777.588944545)
41,HI023,Erech,HI023,,Gondor,Abandoned/Dead Men,x,GD035,Entrance to the Paths of the Dead,Hill of Erech,,,,,,Erech (pre-Númenórean Mannish),,,,,,,,,,,,,,,118636.6454,457205136.1,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3596452.5614136853 2043216.7909132293)
42,HI029,Hill of Guard,HI029,,Gondor,Gondorians,x,GD053,,Hill of Guard,,,Amon Tirith,,,,,,,,,,,,,,,,,,14877.8806,15812799.78,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3956111.305909071 1953310.8115090276)
43,HI052,Weathertop,HI052,,Abandoned,Uninhabited,x,,,Weathertop,,,Amon Sûl,,,,,,,,,,,,,,,,,,14994.67201,7886250.013,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3296639.157510315 2738439.097878243)
44,HI035,Hobbiton Hill,HI035,,The Shire,"Bilbo, Frodo, Hobbits",x,SH026,,Hobbiton Hill; The Hill,,,,,,,,,,,,,,,,,,,,,14845.87893,14908631.73,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3094177.428570602 2731059.664226888)
45,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3613201.96659186 1810491.0476655366)
46,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3637640.8229812025 1796471.2775076414)
47,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3617086.4520130344 1846027.3594866316)
48,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3609669.21447082 1847344.5173627667)
49,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3615384.587938372 1848549.7326943672)
50,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3574748.740217817 1845423.4122081446)
51,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3645920.6634536088 1881963.6813927286)
52,HI046,Tarnost,HI046,,Gondor,Uninhabited,x,GD099,not mentioned in the Lord of the Rings,,,,,,,Tarnost (Noldorin),,,,,,,,,,,,,,,2386953.945,6920006902,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3669199.632341755 1860354.287999152)
53,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3212738.830085335 2851730.7847473873)
54,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3269645.971322554 2893283.819769196)
55,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3278413.8049368076 2897967.025901643)
56,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3284315.92795189 2906667.134638055)
57,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3281540.5897857114 2911957.5907168277)
58,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3209089.1445854222 2921988.029177913)
59,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3211306.421509337 2929542.581757225)
60,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3291892.3684043353 2929154.4073066427)
61,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3279323.2264677887 2951670.1100852927)
62,HI039,North Downs,HI039,,Abandoned,Uninhabited; visited by Rangers of the North,x,,,North Downs,,,,,,,,,,,,,,,,,,,,,990600.8419,5769787275,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3227359.7120909523 2893284.1249291194)
63,HI037,Iron Hills,HI037,,Rhovanion,Durin's Folk/Longbeards (Dwarves),x,,,,,,,,,,,,,,,,,,,,,,,,1066087.948,3479615638,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (4223348.9778831685 2872673.443189346)
64,HI037,Iron Hills,HI037,,Rhovanion,Durin's Folk/Longbeards (Dwarves),x,,,,,,,,,,,,,,,,,,,,,,,,1066087.948,3479615638,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (4205684.060513865 2874112.470964764)
65,HI037,Iron Hills,HI037,,Rhovanion,Durin's Folk/Longbeards (Dwarves),x,,,,,,,,,,,,,,,,,,,,,,,,1066087.948,3479615638,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (4252621.745836072 2897698.5177581105)
66,HI037,Iron Hills,HI037,,Rhovanion,Durin's Folk/Longbeards (Dwarves),x,,,,,,,,,,,,,,,,,,,,,,,,1066087.948,3479615638,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (4222255.936867513 2881773.447987995)
67,HI036,Hollin Ridge,HI036,,Misty Mountains,Crebain,x,,,Hollin Ridge,,,,,,,,,,,,,,,,,,,,,333538.3757,1684244117,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3522461.7867400255 2562971.8749819594)
68,HI048,Tower Hills,HI048,,Lindon,Elves,x,,,Tower Hills,,,Emyn Beriad,,,,,,,,,,,,,,,,,,301123.6996,1693419133,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (2891093.2758572972 2715452.2029843433)
69,HI025,Far Downs,HI025,,The Shire,Hobbits,x,SH057,,Far Downs; Fox Downs (incorrect printing),,,,,,,,,,,,,,,,,,,,,483903.2894,863591395.9,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3039977.4774105824 2624228.0893253684)
70,HI025,Far Downs,HI025,,The Shire,Hobbits,x,SH057,,Far Downs; Fox Downs (incorrect printing),,,,,,,,,,,,,,,,,,,,,483903.2894,863591395.9,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (3008152.246049439 2659620.394386247)
71,HI025,Far Downs,HI025,,The Shire,Hobbits,x,SH057,,Far Downs; Fox Downs (incorrect printing),,,,,,,,,,,,,,,,,,,,,483903.2894,863591395.9,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (2991634.8844600213 2685716.5417173114)
72,HI025,Far Downs,HI025,,The Shire,Hobbits,x,SH057,,Far Downs; Fox Downs (incorrect printing),,,,,,,,,,,,,,,,,,,,,483903.2894,863591395.9,,,,,Hills,/Users/rainylty/STUDY/IVth/datascience/summer_school/summoning_and_lotr/Viz_of_Summoning_and_Middle_Earth-/data_from_gis_and_middle_earth/Vector_Shapefiles/Hills.shp,,,,,,,,,,,,POINT (2985688.4422274358 2695128.0719244624)
