Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,x,y
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,42.98858358,4.643385939
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,43.36937266,5.509545147
Tarnost,Hills,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.945,6920006902,43.18256558,5.819603765
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,51.89063346,-1.891598154
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.35477859,-1.139267008
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.41004298,-1.018096008
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.49821783,-0.948831287
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.54306948,-1.002629093
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.53022537,-2.118265716
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.6029226,-2.103688141
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.71548727,-0.884906262
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.90522868,-1.12697378
North Downs,Hills,Uninhabited; visited by Rangers of the North,North Downs,,,,,,,990600.8419,5769787275,52.29402963,-1.773641952
Iron Hills,Hills,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,52.62809843,13.4154456
Iron Hills,Hills,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,52.64876408,13.14659105
Iron Hills,Hills,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,52.84713449,13.88239999
Iron Hills,Hills,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.948,3479615638,52.71312067,13.40516261
Hollin Ridge,Hills,Crebain,Hollin Ridge,,,,,,,333538.3757,1684244117,49.58749632,3.152410115
Tower Hills,Hills,Elves,Tower Hills,,,Emyn Beriad,,,,301123.6996,1693419133,50.07900455,-6.171157071
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,49.5263583,-3.809175173
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,49.7937515,-4.353438609
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,50.00203169,-4.660275821
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,50.07696529,-4.771445781
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,50.14603485,-4.852470415
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,50.34082698,-5.015892165
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,50.54932483,-5.1135595
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,50.73258379,-5.20932733
Far Downs,Hills,Hobbits,Far Downs; Fox Downs (incorrect printing),,,,,,,483903.2894,863591395.9,50.99935306,-5.092829227
Hills of Scary,Hills,Hobbits,Hills of Scary,,,,,,,115984.0337,448490039.8,50.83606,-2.976242169
White Downs,Hills,Hobbits,White Downs,,,,,,,796161.7955,1794571210,49.42024196,-3.133568589
White Downs,Hills,Hobbits,White Downs,,,,,,,796161.7955,1794571210,49.62476254,-3.455086178
White Downs,Hills,Hobbits,White Downs,,,,,,,796161.7955,1794571210,49.63536345,-3.821738712
White Downs,Hills,Hobbits,White Downs,,,,,,,796161.7955,1794571210,49.59323729,-3.595311967
White Downs,Hills,Hobbits,White Downs,,,,,,,796161.7955,1794571210,49.8071867,-4.15626841
White Downs,Hills,Hobbits,White Downs,,,,,,,796161.7955,1794571210,50.14427511,-4.637450898
White Downs,Hills,Hobbits,White Downs,,,,,,,796161.7955,1794571210,50.54368046,-4.922317749
Bree-hill,Hills,"Men, Hobbits",Bree-hill,,,,,,,85873.22595,388413284.6,50.90584375,-1.753523295
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.63186706,-0.071583616
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.64285692,-0.183285194
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.65664671,-0.217533423
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.84455827,0.008202409
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.87065046,0.197163574
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.88538807,0.061859615
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.90031404,0.049038778
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.92911599,0.006591994
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,49.97378326,0.188414762
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.05661136,0.25951699
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.24730221,-0.089905734
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.26332193,-0.096440314
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.35074561,-0.288785496
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.38902985,-0.36190661
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.41381289,-0.600555694
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.38404855,-1.05155317
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.45637875,-1.250182874
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.51369662,-0.823346508
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.56087123,-1.034502304
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.51933342,-0.663561291
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.5796242,-1.264210066
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.59271212,-1.090325465
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.60827649,-1.307381029
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.60587313,-1.265719121
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.60883993,-1.228943417
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.62063147,-1.275939667
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.61762821,-1.341161173
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.63264111,-1.392444457
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.64697497,-1.392379221
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.65834913,-1.45860592
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.67007109,-1.454872047
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.67452927,-1.507120928
South Downs,Hills,Uninhabited,South Downs,,,,,,,962117.679,5831279379,50.14895239,-0.620071769
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.66783223,-0.88064501
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.6866432,-0.94784965
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.67815876,-0.753906649
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.6769863,-1.394246758
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.71831857,-1.132479697
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.68563938,-1.033978416
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.73847353,-1.260968189
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.85180276,-0.717874233
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.80259576,-1.564257593
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.83560727,-1.571367175
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.82951312,-1.483059028
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.87873187,-1.384287929
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.88540445,-1.590879172
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.92519509,-1.773360543
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,49.95158038,-1.684293797
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,50.0140212,-1.858678393
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,50.22056715,-1.90420595
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,50.42735078,-2.153675047
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,50.60462037,-1.978279555
Barrow-downs,Hills,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.7778,3612863006,50.19458593,-1.524581989
Ravenhill,Hills,Dwarves,Ravenhill,,,,,,,7666.54965,2194250.573,52.9210202,10.90376699
Green Hills,Hills,Hobbits,Green Hills,,,,,,,238342.442,879328857.5,50.22066622,-3.34067193
Green Hills,Hills,Hobbits,Green Hills,,,,,,,238342.442,879328857.5,50.31133469,-3.372803522
Slag-hills,Hills,,Slag-hills,,,,,,,45271.67635,54672172.02,45.98386263,10.52585904
Grey Mountains,Mountains,"Durin's Folk, Dragons, Orcs",Grey Mountains,,,Ered Mithrin,,,,1760153.319,8793164243,53.83305613,8.680541932
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,42.77159743,-0.489865776
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.0036441,9.098000641
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.0887804,8.448123809
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.09897895,8.386338506
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.68508464,6.030723585
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.7203786,5.708205195
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.74415403,4.105118976
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.94712279,4.436692794
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.11376544,6.94383638
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.02392882,4.611795231
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.9690758,1.098015364
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.13632715,0.444915025
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.47777929,4.178994414
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.62059255,4.677525562
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.6290197,4.676953307
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.63175154,4.667117162
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,43.76561683,-0.52821326
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.64932461,4.406498426
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.65932765,4.382160774
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.67267764,4.522603046
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.60056886,3.097395721
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,45.67753859,4.413220409
White Mountains,Mountains,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.338,55474133536,44.92540474,5.002752683
Mount Doom,Mountains,,Mount Doom,,,"Orodruin; Amon Amarth (""Mount Doom"")",,,,207402.9638,522490204.5,44.83004097,11.83343506
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2378422.152,36116094605,52.0057426,-7.955464407
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2378422.152,36116094605,52.64665314,-8.735740208
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,47.9822273,-6.216068506
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,48.26311366,-6.612919226
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,48.2767414,-6.934052275
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,48.32098371,-6.83582702
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,48.40842733,-7.060356515
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,48.84208834,-7.732263972
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,49.10514954,-7.483704954
Blue Mountains,Mountains,"Dwarves (Broadbeams, Firebeards, and Longbeards)",Blue Mountains; Mountains of Lindon,[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.576,17079749152,48.65108818,-6.210109486
Lonely Mountain,Mountains,Durin's Folk/Longbeards (Dwarves),Lonely Mountain,,,Erebor,,,,70839.23097,268765748,52.9894966,10.79191999
Amon Anwar,Mountains,Gondorian beacon-wardens,"""Hill of Awe""; ""Holy Mountain""",,,"Amon Anwar (""Hill of Awe"")",,"the Halifirien (""Holy Mountain"")",Eilenaer (pre-Númenórean Mannish),5042.727371,1408169.965,45.11376544,6.94383638
Írensaga,Mountains,Rohirrim,"""iron-saw""",,,,,Írensaga,,58528.36154,146024061.2,45.58852031,4.552240241
Ras Morthil,Mountains,"Possibly Druédain, possibly vacated","""dark/black horn""",,,Ras Morthil,,,,80640.37385,105273699,42.20429703,-1.811426087
Cûl Bîn,Mountains,,"""Little Load""",,,Cûl Bîn,,,,349009.6359,1308099846,44.24648037,5.070853944
Dol Tarlang,Mountains,,"""Tarlang's Head""",,,Dol Tarlang,,,,102091.7772,161740075.6,44.70996261,5.197746366
Cûl Veleg,Mountains,,"""Big Load""",,,Cûl Veleg,,,,156922.2643,459933208.7,44.55521015,5.091900709
Gundabad,Mountains,Orcs,,,,,Gundabad,,,35979.23654,82353405.34,53.82088931,4.460786166
Mindolluin,Mountains,None,Mount Mindolluin,,,"Mindolluin (""towering-head-blue"")",,,,375629.4947,2045226868,44.24664389,9.04263131
Mountains of Angmar,Mountains,"Orcs, the Witch-king",Mountains of Angmar,,,,,,,709358.1413,5034958333,54.10270515,2.450952111
Morgai,Mountains,,,,,,,,,955544.8742,2100675563,43.97397708,10.86783209
Morgai,Mountains,,,,,,,,,955544.8742,2100675563,44.89606327,10.77043045
Calenhad,Mountains,Gondorian beacon-wardens,"""green space""",,,Calenhad,,,,36361.07882,60467528.1,45.06753182,7.601578372
Mountains of Mirkwood,Mountains,Elves (previously); Spiders and evil creatures,Mountains of Mirkwood,,,"Emyn Duir (""the Dark Mountains""); Emyn-nu-Fuin (""the Mountains of Mirkwood"")",,,,1328482.661,4321728640,51.79310236,10.23805534
Celebdil,Mountains_of_Moria,,Silvertine,Silvertine,,Celebdil,Zirakzigil,,,1021751.498,1925026085,50.17688771,4.964042522
Caradhras,Mountains_of_Moria,Mountain is actively hostile,Redhorn,Redhorn,,Caradhras,Barazinbar/Baraz,,,206272.7846,740966016.1,50.09702799,4.127051038
Fanuidhol,Mountains_of_Moria,,Cloudyhead,Cloudyhead,,Fanuidhol,Bundushathûr/Shathûr,,,294495.0403,1523281703,49.82842834,5.242533169
Caradhras,Mountains_of_Moria,Mountain is actively hostile,Redhorn,Redhorn,,Caradhras,Barazinbar/Baraz,,,221891.8394,904526360.1,50.46845995,4.567067099
Fanuidhol,Mountains_of_Moria,,Cloudyhead,Cloudyhead,,Fanuidhol,Bundushathûr/Shathûr,,,289319.6321,1003501385,50.21097722,5.696899079
Dead Marshes,Wetland,Dead faces,Dead Marshes,,,,,,,283064.9457,2601027941,46.5404258,9.946177044
Swanfleet,Marsh,Swans,Swanfleet,,,"Nîn-in-Eilph (""water-lands of the Swans"")",,,,132608.0816,1029769580,48.47279281,0.165691306
