Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,x,y
Bywater Pool,Pond,,Bywater Pool,,,,,,,17399.25375700000,21533031.14420000091,,,3084239.5507503948,2727782.5132374442
Lake Evendim,Lake,,Lake Evendim,,,"Nenuial (""Lake of Twilight"")",,,,176520.56101300000,961411810.55799996853,,,3088205.8514628792,2868326.8721797084
Long Lake,Lake,,Long Lake,,,,,,,94930.52732450000,210131132.73500001431,,,4083225.8255724511,2843445.9952077167
Mirrormere,Lake,,Mirrormere,,,"Nen Cenedril (""Lake Looking-glass"")","Kheled-zâram (""glass lake/pool"")",,,3529.01342736000,830010.86060799996,,,3674613.0205835118,2538184.0906030312
Nen Hithoel,Lake,,"""Mist-cool Water""",,,Nen Hithoel,,,,94564.03350070000,604123002.01300001144,,,3899573.9370556329,2203762.3535771365
Sea of Rhûn,Inland Sea,,Sea of Rhûn,,,"Rhûn (""East"")",,,,960854.37020400004,22436757395.79999923706,,,4536575.2732288828,2460410.5121220658
Sea of Núrnen,Inland Sea,,"Sea of Núrnen; Lake Núrnen; ""sad-water"" lake/sea",,,[Sea/Lake] Núrnen,,,,644327.42308800004,14297796890.89999771118,,,4389723.1832572222,1810405.0248137356
Amon Hen,,Gondorians,"""Hill of the Eye""; Hill of Sight",,,Amon Hen,,,,17174.30262820000,16460333.26789999940,Hills,,3893044.4718603338,2184193.3760482911
Amon Lhaw,,,"""Hill of Hearing""",,,Amon Lhaw,,,,25295.65727820000,28664574.10830000043,Hills,,3904705.3736314946,2188274.1913845837
Dol Guldur,,"Sauron, Khamûl, forces of Sauron","""Hill of Sorcery""; the dungeons of the Necromancer",,,"Amon Lanc (""the Naked Hill""; ""Bald Hill""); Dol Guldur (""Hill of Sorcery"")",,,,24073.70571180000,35151954.22249999642,Hills,,3869071.1544583007,2532498.4709738754
Buck Hill,,Hobbits,Buck Hill,,,,,,,21391.99995140000,32058307.79199999943,Hills,,3139225.3047086606,2709975.6140376767
Cerin Amroth,,,"""Amroth's Mound""",,,Cerin Amroth,,,,7911.54429088000,4703016.51470999978,Hills,,3742057.0373952528,2520951.5377714881
Death Down,,,Death Down,,,,,,,868.15839040900,53940.40108010000,Hills,,3494953.0689167380,2200621.3940751799
Dol Amroth,,Men (Númenórean Faithful),"""hill upclimber""",,,Dol Amroth,,,,45904.78437890000,78039725.25869999826,Hills,,3558870.4128023535,1846321.0812512613
Dol Baran,,,"""Shaven hill""",,,Dol Baran,,,,7074.59465226000,3058019.07757000020,Hills,,3503779.6781684230,2269251.4437248195
Emyn Arnen,,House of Húrin (Gondorians),"""the hills of Arnen""",,,Emyn [Arnen],,,,84749.28502230000,347700778.94199997187,Hills,,3979632.4108548146,1931528.5140695679
Emyn Muil,,Uninhabited,"""the drear hills""",,,Emyn Muil,,,,448728.75736900000,6215051959.09000110626,Hills,,3918368.0142713175,2224777.5889445450
Erech,,Abandoned/Dead Men,Hill of Erech,,,,,,Erech (pre-Númenórean Mannish),118636.64541300001,457205136.13099998236,Hills,,3596452.5614136853,2043216.7909132291
Hill of Guard,,Gondorians,Hill of Guard,,,Amon Tirith,,,,14877.88059750000,15812799.77500000037,Hills,,3956111.3059090711,1953310.8115090276
Weathertop,,Uninhabited,Weathertop,,,Amon Sûl,,,,14994.67201420000,7886250.01339999959,Hills,,3296639.1575103151,2738439.0978782428
Hobbiton Hill,,"Bilbo, Frodo, Hobbits","Hobbiton Hill; The Hill",,,,,,,14845.87892880000,14908631.73320000060,Hills,,3094177.4285706021,2731059.6642268882
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3613201.9665918602,1810491.0476655369
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3637640.8229812025,1796471.2775076414
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3617086.4520130344,1846027.3594866316
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3609669.2144708200,1847344.5173627669
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3615384.5879383720,1848549.7326943672
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3574748.7402178170,1845423.4122081443
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3645920.6634536088,1881963.6813927284
Tarnost,,Uninhabited,,,,,,,Tarnost (Noldorin),2386953.94487999985,6920006902.03999996185,Hills,,3669199.6323417551,1860354.2879991520
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3212738.8300853348,2851730.7847473873
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3269645.9713225542,2893283.8197691962
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3278413.8049368076,2897967.0259016431
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3284315.9279518900,2906667.1346380552
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3281540.5897857114,2911957.5907168277
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3209089.1445854222,2921988.0291779130
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3211306.4215093371,2929542.5817572251
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3291892.3684043353,2929154.4073066427
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3279323.2264677887,2951670.1100852927
North Downs,,"Uninhabited; visited by Rangers of the North",North Downs,,,,,,,990600.84192200005,5769787275.35000038147,Hills,,3227359.7120909523,2893284.1249291194
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.94754999992,3479615638.44999980927,Hills,,4223348.9778831685,2872673.4431893462
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.94754999992,3479615638.44999980927,Hills,,4205684.0605138652,2874112.4709647638
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.94754999992,3479615638.44999980927,Hills,,4252621.7458360717,2897698.5177581105
Iron Hills,,Durin's Folk/Longbeards (Dwarves),,,,,,,,1066087.94754999992,3479615638.44999980927,Hills,,4222255.9368675128,2881773.4479879951
Hollin Ridge,,Crebain,Hollin Ridge,,,,,,,333538.37570999999,1684244117.02999997139,Hills,,3522461.7867400255,2562971.8749819594
Tower Hills,,Elves,Tower Hills,,,Emyn Beriad,,,,301123.69961299998,1693419133.04999995232,Hills,,2891093.2758572972,2715452.2029843433
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,3039977.4774105824,2624228.0893253684
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,3008152.2460494391,2659620.3943862468
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,2991634.8844600213,2685716.5417173114
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,2985688.4422274358,2695128.0719244624
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,2981680.8562974525,2703513.0860518855
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,2974852.7815366439,2726270.5929596527
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,2972826.7023561471,2749559.1231329190
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,2970433.0661166152,2770164.2970089274
Far Downs,,Hobbits,"Far Downs; Fox Downs (incorrect printing)",,,,,,,483903.28942900000,863591395.90799999237,Hills,,2984021.3298691991,2796608.3115010448
Hills of Scary,,Hobbits,Hills of Scary,,,,,,,115984.03369800000,448490039.78700000048,Hills,,3121846.1848613881,2752251.3104755240
White Downs,,Hobbits,White Downs,,,,,,,796161.79549100006,1794571209.54999995232,Hills,,3084422.0265883133,2604442.9420288447
White Downs,,Hobbits,White Downs,,,,,,,796161.79549100006,1794571209.54999995232,Hills,,3066231.8653955869,2630082.2326328177
White Downs,,Hobbits,White Downs,,,,,,,796161.79549100006,1794571209.54999995232,Hills,,3041291.7911762693,2635896.8111042371
White Downs,,Hobbits,White Downs,,,,,,,796161.79549100006,1794571209.54999995232,Hills,,3055990.2686201632,2628533.9824568531
White Downs,,Hobbits,White Downs,,,,,,,796161.79549100006,1794571209.54999995232,Hills,,3021883.5696423068,2658408.5952113108
White Downs,,Hobbits,White Downs,,,,,,,796161.79549100006,1794571209.54999995232,Hills,,2996191.1087747691,2700385.7652472034
White Downs,,Hobbits,White Downs,,,,,,,796161.79549100006,1794571209.54999995232,Hills,,2985524.2669429984,2746323.3374685911
Bree-hill,,"Men, Hobbits",Bree-hill,,,,,,,85873.22595310000,388413284.63000005484,Hills,,3205043.9161295085,2745800.3337619300
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3299443.6109336005,2593412.5353318374
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3291885.0577074219,2595646.7293570326
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3289722.8860935466,2597442.6576239690
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3308039.3194274222,2615297.8527597268
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3321418.5486636669,2616323.1497365865
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3312320.8309064163,2619142.9878953290
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3311654.3066156092,2620851.1790945884
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3309153.1235076184,2624313.0095828329
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3322283.1432544063,2627384.2800360988
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3328335.2152439975,2635554.4407050372
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3307175.9616254596,2659079.7445223639
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3306964.4449132145,2660845.7627598206
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3295149.5102703907,2671966.5938509270
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3290747.7584194178,2676738.5022271690
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3274904.2192810974,2681690.0708133313
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3243804.4572312995,2683047.5658005434
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3231495.8975860509,2692777.9296626975
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3261338.8606668203,2694513.3063651910
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3247788.2410001131,2701655.4670260767
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3272254.4222014928,2693526.9486378422
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3232555.3858309039,2706008.9953813800
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3244522.7751847482,2705606.9609415964
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3230106.1726713781,2709500.0009608022
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3232881.5769355535,2708811.5530445590
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3235414.6552174287,2708745.4022998069
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3232432.0101331393,2710484.5862986799
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3227977.7919087466,2710845.2061033915
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3224762.0906919483,2712975.7252981784
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3225002.9368187762,2714496.4900587657
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3220722.4554216280,2716400.2070128703
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3221168.7619666997,2717604.8888818445
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3217719.2653768952,2718629.9263537060
South Downs,,Uninhabited,South Downs,,,,,,,962117.67903100001,5831279378.78999996185,Hills,,3269503.6571700326,2653724.9072604557
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3244126.0010473127,2605210.5752464812
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3239789.7116985735,2607898.6922540721
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3253028.7147985259,2605019.1999247195
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3208874.1081512100,2611559.0478975629
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3227576.1539386306,2613178.0929048834
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3233837.2959971009,2608681.6039117556
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3219058.4066692721,2616668.8561597303
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3258209.9448981704,2623112.4763325937
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3199268.7398899193,2626720.7776445169
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3199333.5155373849,2630300.5091065778
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3205293.1115708938,2628700.5407275110
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3212885.6597442455,2632867.1891429378
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3198830.1101385569,2635795.5585931605
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3187001.0677445508,2642009.5830594352
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3193546.2424479430,2643832.1988488659
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3182684.6747446205,2652370.4747163868
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3183132.7570689586,2674774.0585971670
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3169804.0535987820,2699472.5332664442
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3184752.2930795397,2716308.1234277333
Barrow-downs,,Barrow-wights,Barrow-downs,,,Tyrn Gorthad/Tyrn Goerthiad (plural),,,,754236.77783299994,3612863006.44999933243,Hills,,3208533.9984798837,2667886.8923113993
Ravenhill,,Dwarves,Ravenhill,,,,,,,7666.54965048000,2194250.57341000019,Hills,,4058735.1468061833,2899364.5224090959
Green Hills,,Hobbits,Green Hills,,,,,,,238342.44200899999,879328857.49100005627,Hills,,3085579.0020920108,2691612.8859262434
Green Hills,,Hobbits,Green Hills,,,,,,,238342.44200899999,879328857.49100005627,Hills,,3085153.5810070126,2701591.1367714335
Slag-hills,,,Slag-hills,,,,,,,45271.67634500000,54672172.02090000361,Hills,,4039482.2370000170,2153473.0063476404
Grey Mountains,Range,"Durin's Folk, Dragons, Orcs",Grey Mountains,,,Ered Mithrin,,,,1760153.31856999989,8793164243.25000000000,Mountains,,3916003.6459254394,2997868.2382820412
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3165973.1501109786,1865811.0757817563
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3929670.7530963719,1940187.6137230713
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3879198.6066988488,1950223.0099511952
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3874413.9077556529,1951427.2805574792
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3694605.0225984785,2021531.8117452743
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3670038.4643350886,2026720.5511069563
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3547220.4186820160,2037770.7228492619
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3574285.5458591972,2057628.9497799487
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3766725.4740966833,2064391.7114037196
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3588264.0494862446,2064897.5415114861
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3320092.4958823458,2084967.4188982637
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3272805.1092757359,2109081.7099213772
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3559108.1738528111,2116182.9622829868
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3597906.8600880853,2128685.7108931802
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3597929.0592100346,2129594.5163746439
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3597208.6105220341,2129941.6803808017
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3178213.3525325800,1972682.5976609420
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3577704.0665515135,2133285.0315380492
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3575952.0287638353,2134499.1178681236
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3586639.8010064433,2135137.6935801324
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3478640.1954275472,2136409.1839407003
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3578440.2123056096,2136277.9252013555
White Mountains,Range,"Men, Dwarves",White Mountains,,,Ered Nimrais,,,,6337069.33787999954,55474133536.30000305176,Mountains,,3617373.3848738600,2052196.2874712839
Mount Doom,Volcano,,Mount Doom,,,"Orodruin; Amon Amarth (""Mount Doom"")",,,,207402.96378200001,522490204.48699998856,Mountains,,4140729.3494902402,2030712.5662927220
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2378422.15181000018,36116094604.50000000000,Mountains,,2820835.4541768637,2944589.1789960572
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2378422.15181000018,36116094604.50000000000,Mountains,,2787952.7785128048,3023991.4120374750
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2839018.8292236771,2496240.5864066472
